Title,Company,Address,Posted In,Required Skills,Responsibilities,Requirements,Links
Solar Energy Sales Engineer,MES,"Cairo, Egypt ",1 month ago,Full timeEntry Level · 1 - 3 Yrs of Exp · Sales · Renewable Energy · Communication Skills · Sales Skills · Sales Target · Solar Energy · Solar Energy Sales · Electrical Engineering · Solar Energy Solutions · Engineering,Responsible for the companies sales activities for Solar Energy Solutions. | Identify and develop sales leads and generate sales opportunities to drive sales revenue. | ,"Good communication skills. | Sales skills | Well organized and disciplined, and looking for challenge | ",https://wuzzuf.net/jobs/p/0gqWDCv8ijzu-Solar-Energy-Sales-Engineer-MES-Cairo-Egypt?o=1&l=sp&t=sj&a=energy|search-v3|hpb
Electrical and Renewable Energy Engineer,G.E.I.S - Green Energy Integrated Solutions,"Cairo, Egypt ",1 month ago,Full timeExperienced · 4+ Yrs of Exp · Electrical Engineering · Renewable Energy · Engineering · Energy · Electrical · Solar · PVsyst · pvsol · AutoCAD · Engineering - Mechanical/Electrical,"As an electrical and renewable energy engineer you will be responsible for ensuring the smooth running of services such as lighting, heating, and ventilation. | Duties could include working at heights or with power generating equipment. | The job role of an electrical engineer involves the following duties: | Managing power generation, transmission and distribution | Working with high and low voltage equipment | Designing systems and products using computer software | Working with renewable energy applications (PV, solar thermal, solar lightings, …): | Designing, installation, testing and maintenance systems | Developing ways of improving existing processes converting, transmitting and supplying useful energy to meet clients’ needs for electricity and hot water applications | Researching and developing ways to generate new energy, reduce emissions from fossil fuels and minimize environmental damage | Managing and maintaining building services, such as lighting, heating, ventilation and lift systems | Carrying out feasibility studies for new technical developments | Drawing up project plans, making models, prototypes and circuit diagrams for high and low voltage electrical equipment | Budgeting and estimating timescales for offers and commercial proposals | Overseeing technicians and craftspeople | Testing installations and systems | Ensuring projects meet safety regulations | Overseeing inspection and maintenance programmes | Liaising with clients | Managing maintenance programmes | Working in factories, Residential or Commercial buildings, or in a workshop, in office or outdoors. | ","Bachelor Diploma in Electrical Engineering with good knowledge in Renewable Energy applications | 4 years real experience as minimum is required, including experience in solar energy | Team work on sites and in Office when required | Fluent in English | Excellent computer skills (Autocad, PVsyst, PVSol, Tsol, …), Microsoft office | Risk taker | Well organized and disciplined, and looking for challenges | Making decision and solving problem | High communication skills | ",https://wuzzuf.net/jobs/p/v9wefRD67H5R-Electrical-and-Renewable-Energy-Engineer-G-E-I-S---Green-Energy-Integrated-Solutions-Cairo-Egypt?o=2&l=sp&t=sj&a=energy|search-v3|hpb
Sales Manager,AECO,"Cairo, Egypt ",14 days ago,Full timeManager · 5 - 10 Yrs of Exp · Renewable Energy · Sales · Sales Planning · Sales Strategies · Sales Engineering · Customer Relationships · Sales Skills · Sales Target · Customer Service · Management,"Market survey | Establishing new sales channels | Attending trade shows, conferences and other marketing events | Administering client accounts | Coordinating sales projects | Understanding customers’ needs and solution requirements | Delivering technical presentations and demonstrations | Providing pre-sales technical assistance and product education | Liaising with other members of the sales team and other technical experts | Negotiating and closing deals | Preparing reports for head office | Organizing sales pipeline | Meeting regular sales targets | ",Bachelor’s Degree (BSc/BA) or equivalent experience | 5-10 years’ experience in the renewable energy industry | Strong connections in the industry field | Fluent Arabic/English. | Excellent computer presentation skills. | Effective Selling Skills | Excellent Communication and rapport building skills | Organization & time Management skills | Negotiation skills | Result Oriented | Persistence | Creativity | ,https://wuzzuf.net/jobs/p/mlDS3PH76p01-Sales-Manager-AECO-Cairo-Egypt?o=3&l=sp&t=sj&a=energy|search-v3|hpb
Junior Solar Sales Engineer - (EGE Sister Company),3Brothers,"Heliopolis, Cairo, Egypt ",13 days ago,Full timeEntry Level · 1 - 2 Yrs of Exp · Sales · Solar · Engineering · Solar Sales · Solar Energy · English · Sales Skills · Sales Target · Sales/Retail · Engineering - Other,"Participate in sales and marketing plan | Generate sales leads and follow up after the initial meeting | Expand company existing client base | Develop and build long-term relationships with clients, through managing and interpreting their requirements | Make technical presentations and demonstrate how company solutions meet client needs | Achieve sales targets and quotas on a quarterly and annual basis | Support marketing activities by attending exhibitions, conferences and other marketing events | ","B.Sc. in Engineering from a well-known university | Must own a personal car. | 1 - 2 years of sales experience is a must  | Strong sales, negotiation, and presentation skills | Excellent communication skills | High analytical and problem-solving skills | High self-confidence | Self-reliance and self-motivated | Very good English | Solar energy experience is a plus | Willingness to travel | ",https://wuzzuf.net/jobs/p/AFbamGtNTAmP-Junior-Solar-Sales-Engineer---EGE-Sister-Company-3Brothers-Cairo-Egypt?o=4&l=sp&t=sj&a=energy|search-v3|hpb
Solar Presales Engineer,International Business Systems I.B.S.,"Mokattam, Cairo, Egypt ",26 days ago,Full timeExperienced · 2 - 4 Yrs of Exp · Sales · Engineering · Renewable Energy · Solar Energy · Autocad · PVsyst · PVSol · Tsol · Sales/Retail · Engineering - Mechanical/Electrical,"Participate in sales and marketing plan | Generate sales leads and follow up after the initial meeting | Expand company existing client base | Develop and build long-term relationships with clients, through managing and interpreting their requirements | Make technical presentations and demonstrate how company solutions meet client needs | Assist the sales team to achieve sales targets and quotas on a quarterly and annual basis | Support marketing activities by attending exhibitions, conferences and other marketing events. | ","B.Sc. in Engineering from a well-known university | Solar energy experience is a Must | Must own a personal car. | 2-4 years of real sales experience. | Excellent computer skills (Autocad, PVsyst, PVSol, Tsol, …), Microsoft office | Strong sales, negotiation, and presentation skills | Excellent communication skills | High analytical and problem-solving skills | High self-confidence | Self-reliance and self-motivated | Very good English | ",https://wuzzuf.net/jobs/p/or7gR5eCOO1X-Solar-Presales-Engineer-International-Business-Systems-I-B-S-Cairo-Egypt?o=5&l=sp&t=sj&a=energy|search-v3|hpb
Research Assistant / Senior Researcher,CVS3 – Center for Sound Vibration & Smart Structures.,"Ain Shams, Cairo, Egypt ",1 month ago,Full timeEntry Level · 1 - 3 Yrs of Exp · R&D · Mathematics · Research · Energy · Engineering · Computer · Mechanical Engineering · Chemical Engineering · Energy Programs · R&D/Science,"The Energy Technology and Climate Change Laboratory (ETCC), is a research-driven and industry-oriented research group at the Faculty of Engineering, Ain Shams University (ASU) in Egypt. We have an exciting opening for dynamic and curious researchers for work on an international research project. This project will develop and demonstrate novel concepts for organic waste-to-energy using an integrated anaerobic digester plant. The solution developed by this project should focus on the optimisation of waste chemistry, digester designs and a system-level techno-economic assessment of an integrated biorefinery concept of an anaerobic digester biomass plant. | ","Successful candidates are expected to have obtained —at least— Engineering BSc degrees in Mechanical, Chemical, Environmental or Energy-related programs. | Candidates are expected to enjoy solid knowledge of mathematics, and are expected to be able to use computer programming tools.  | Candidates should be highly motivated individuals with a keen interest in conducting international and interdisciplinary research. | Priority for employment, and salary, will be given to candidates with strong academic record and publication potential. | ",https://wuzzuf.net/jobs/p/pBD8CxXnxz8y-Research-Assistant-Senior-Researcher-CVS3-–-Center-for-Sound-Vibration-Smart-Structures-Cairo-Egypt?o=6&l=sp&t=sj&a=energy|search-v3|hpb
Sales Manager,UNI Power,"6th of October, Giza, Egypt ",1 month ago,Full timeManager · 5+ Yrs of Exp · Sales · Sales Skills · Sales Target · Customer Service · Engineering · MBA · Electrical · Renewable Energy · UPS · Data Center,"Sales Expert in Total Power Solutions for UPS & DC & PV & BMS and Data Center infrastructure | Achieve growth and hit sales targets by successfully managing the sales team | Design and implement a strategic business plan that expands company’s customer base and ensure it’s strong presence | Own recruiting, objectives setting, coaching and performance monitoring of sales representatives | Build and promote strong, long-lasting customer relationships by partnering with them and understanding their needs | Present sales, revenue and expenses reports and realistic forecasts to the management team | Identify emerging markets and market shifts while being fully aware of new products and competition status | ","BSC degree in Electrical Power Engineering or a related field | MBA is preferable | 5+ years previous experience as sales manager in the field of UPS, Renewable Energy and BMS | Own a car | Fluent in English | Proven ability to drive the sales process from plan to close | Strong business sense and industry expertise | Sales Expert in Total Power Solutions for UPS & DC & PV & BMS and Data Center infrastructure | ",https://wuzzuf.net/jobs/p/kfVZVuXset05-Sales-Manager-UNI-Power-Giza-Egypt?o=7&l=sp&t=sj&a=energy|search-v3|hpb
Mechanical Engineer - Power Plant,Chloride,"6th of October, Giza, Egypt ",1 month ago,Full timeExperienced · 5 - 7 Yrs of Exp · males_only · Mechanical Engineering · Engineering · Electrical Engineering · Power · Mechanical · Electrical · Plant · Power Plant · Energy · Engineering - Mechanical/Electrical,"Plan, conceptualize, and create mechanical designs for new products | Develop testing processes, and perform testing and validation of new designs | Generate working prototypes for beta testing and customer demonstration | Perform engineering calculations to support design work | Create and review technical drawings, plans, and specifications using computer software | Collaborate with multi-disciplinary engineering teams, and work with vendors and contractors | Perform detailed documentation to track project development and design process | Ensure project timeline is met and project stays within budget | Review logs, datasheets, or reports to ensure adequate production levels and safe production. | Review operations performance specifications to ensure compliance with the requirements. | Contribute to the preparation of the annual budget. | Supervise the plant & substation operations, maintenance, repair, or testing activities. | Supervise O&M employees in the production of power plant. | Monitor the operating status of the plants by observing control parameters, switchboard gauges, dials, or other indicators. | Maintain the internal training for the plant staff. | Inspect equipment and facilities for ways to maximize capacity and minimize the costs. | Coordination in monitoring the profitability progress of the plant | Plan and schedule plant activities, such as regular maintenance. | Evaluate power production or demand trends to identify opportunities for improved operations. | Analyzing information and evaluating results to choose the best solution and solve problems. | Monitor the inventories of spare parts, maintenance consumables, and reordering it. | Maintain safety, health, and environmental policies and procedures. | ",Mechanical / Electrical Engineering Bachelor’s degree | 5+ years of experience in the Energy (Power Plant) field | ,https://wuzzuf.net/jobs/p/X3M6ll60DbEX-Mechanical-Engineer---Power-Plant-Chloride-Giza-Egypt?o=8&l=sp&t=sj&a=energy|search-v3|hpb
Electrical Power Engineer,Egybell,"Cairo, Egypt ",6 days ago,Full timeEntry Level · 1 - 2 Yrs of Exp · Electrical Power · Low Current · Electrical Engineering · Engineering · Electrical · Engineering - Mechanical/Electrical,"Responsible for implementations and monitoring of all electrical related works | Organizes and conducts field management surveillance, audits, and assessments | Assists in resolving issues unique to the project or program | Plans and analyzes electronic engineering commodities | Creates test procedures and production assembly documents | Participates in team projects and related activities relative to new product development | Provides technical support to marketing and sales teams to create detailed proposals and bids | Conducts energy inspections and suggests alternative energy sources | Supports the organization in improving profitability by making necessary recommendations and controlling resources | Assigns technical staff for 24-hour maintenance coverage | ",1-2 years of experience in the same title.  | Experience in the current light “low current” is a Must  | Bachelor Degree in Electrical Engineering. Or a related filed . | ,https://wuzzuf.net/jobs/p/HGyYyLgKbNCb-Electrical-Power-Engineer-Egybell-Cairo-Egypt?o=9&l=sp&t=sj&a=energy|search-v3|hpb
Sales Manager – Oil & Gas,Global Advanced Systems,"Sheraton, Cairo, Egypt ",1 month ago,Full timeManager · 4+ Yrs of Exp · Sales · Engineering · Sales Skills · Sales Engineering · Oil & Gas · Sales Management · Sales Planning · Sales Target · Application Engineering · Energy,"We are seeking a Hunter! The successful candidate will drive sales for a new innovative and highly sophisticated technology used within the oil and gas industry. | This is an incredible opportunity to drive growth for this new product family for our client, bringing your individual creative experience in the market and help build a market presence from near scratch. | ","Bachelor’s degree in Engineering/Technical/Business field ( Oil & Gas ) and 4 years of experience in a sales management/sales engineering/application engineering role in industrial sales Self-starter with the ability to work extended periods without supervision. | Understand sales cycle and has proved sales experience and has DB for customers. | Strong ability to assimilate, organize, prioritize and manage information related to customer and corporate requirements. | Strong Ability to create value to customers, create strong, long business relation and customer needs. | Strong analytical and risk analysis skills | Strong ability to conduct financial analysis | Strong problem solving skills and ability to make decisions | Strong leadership skills, especially in addressing sales issues that extend to other departments. | Strong oral and written communication skills | Strong presentation skills | Strong ability to multi-task effectively | Customer and result oriented. | Strong level of interpersonal skills with the ability to work effectively with others | Leadership skills, especially in addressing issues that cross internal departments | ",https://wuzzuf.net/jobs/p/AVskyo6ubkjK-Sales-Manager-–-Oil-Gas-Global-Advanced-Systems-Cairo-Egypt?o=10&l=sp&t=sj&a=energy|search-v3|hpb
