Title,Company,Address,Posted In,Required Skills,Responsibilities,Requirements,Links
Senior PHP Software Engineer,Aqarmap.com,"Nasr City, Cairo, Egypt ",1 day ago,Full timeExperienced · 4+ Yrs of Exp · PHP · Mongo DB · Mongo · Symfony2 · Angular · Yii · Laravel · Symfony · Codeigniter · PHP5,"We are looking for a Senior Php Engineer who has advanced experience with one of the following frameworks (Symfony, Laravel) | Our ideal candidate should be ready to get challenged by working on some of the most complex problems. | ","Experience in PHP (4+ Years) preferably PHP7+ | Git | Experience in one of the following JS frameworks: Vue, React, Angular. (1+ Years) | ",https://wuzzuf.net/jobs/p/U6uVTD8WsyVk-Senior-PHP-Software-Engineer-Aqarmap-com-Cairo-Egypt?o=1&l=sp&t=sj&a=php|search-v3|hpb
Senior PHP Web Developer,Confidential -,"Nasr City, Cairo, Egypt ",1 day ago,Full timeExperienced · 4+ Yrs of Exp · PHP · Mongo DB · Mongo · Symfony2 · Angular · Yii · Laravel · Symfony · Codeigniter · PHP5,"We are looking for a Senior Php Developer who has advanced experience with one of the following frameworks (Symfony, Laravel) | Our ideal candidate should be ready to get challenged by working on some of the most complex problems. | ","Experience in PHP (4+ Years) preferably PHP7+ | Git | Experience in one of the following JS frameworks: Vue, React, Angular. (1+ Years) | ",https://wuzzuf.net/jobs/p/B9DxCm2piFe3-Senior-PHP-Web-Developer-Cairo-Egypt?o=2&l=sp&t=sj&a=php|search-v3|hpb
PHP Developer,Qmind,"Heliopolis, Cairo, Egypt ",6 days ago,Full timeExperienced · 2 - 3 Yrs of Exp · PHP · Information Technology (IT) · Computer Science · Software Development · javaScript · Computer Engineering · HTML5 · MVC · CSS3 · Front-End,"Building and maintaining internal and external facing web applications | Working with developers, business analyst, QA, team-lead and business resources to design, develop and maintain web applications | Developing user-facing elements | Development of all server-side logic, definition and maintenance of the central database | Solve complex performance problems and architectural challenges | Build efficient, testable, and reusable PHP modules | ","Bachelor's degree in Computer Science and Information system or Computer Engineering. | 2+ years of relevant experience. | Strong knowledge of PHP web frameworks | Understanding of MVC design patterns | Basic understanding of front-end technologies, such as JavaScript, HTML5, and CSS3 | User authentication and authorization between multiple systems, servers, and environments | Creating database schemas that represent and support business processes | ",https://wuzzuf.net/jobs/p/6OkowcDZWBvj-PHP-Developer-Qmind-Cairo-Egypt?o=3&l=sp&t=sj&a=php|search-v3|hpb
PHP Software Engineering Lead,Confidential -,"Nasr City, Cairo, Egypt ",1 day ago,Full timeManager · 4+ Yrs of Exp · Android · Mobile Development · Software Development · Android SDK · Android Studio · Computer Science · Information Technology (IT) · Engineering · Software Engineering · Java,We don't care what type of degrees you have or what was your major. The code speaks better than degrees. Just send us links to the apps that you have developed/published or tell us about your experience | ,Strong knowledge of backend development using PHP Frameworks  | Strong experience in advanced Software Architecture & Microservices  | Strong knowledge of DevOps | Strong experience in leading software development teams  | ,https://wuzzuf.net/jobs/p/BltIJjk71L2B-PHP-Software-Engineering-Lead-Cairo-Egypt?o=4&l=sp&t=sj&a=php|search-v3|hpb
PHP Software Engineering Manager,Confidential -,"Nasr City, Cairo, Egypt ",1 day ago,Full timeManager · 4+ Yrs of Exp · Android · Mobile Development · Software Development · Android SDK · Android Studio · Computer Science · Information Technology (IT) · Engineering · Software Engineering · Java,We don't care what type of degrees you have or what was your major. The code speaks better than degrees. Just send us links to the apps that you have developed/published or tell us about your experience | ,Strong knowledge of backend development using PHP Frameworks  | Strong experience in advanced Software Architecture & Microservices  | Strong knowledge of DevOps | Strong experience in leading software development teams  | ,https://wuzzuf.net/jobs/p/hkZAjmA3lYI8-PHP-Software-Engineering-Manager-Cairo-Egypt?o=5&l=sp&t=sj&a=php|search-v3|hpb
"Full Stack Engineer ( PHP Laravel, ReactJS )",DailyMealz | ديلي ميلز,"Maadi, Cairo, Egypt ",7 days ago,Full timeEntry Level · 1 - 5 Yrs of Exp · Engineering · Computer Science · Information Technology (IT) · Software Development · JavaScript · HTML5 · MySQL · PHP · jQuery · Bootstrap,"Work as part of a full-stack product team to develop solutions to ensure convent experience for our customers, drivers, and restaurants. | Utilize a variety of backend technologies to build scalable products | Craft elegant solutions to technical challenges quickly and effectively | Be a key part of the entire development lifecycle from specification to deployment and running the apps in production. | Focus on continuous improvement of product and processes | Document the development process, architecture, and standard components | Build scalable products with high quality. | Keep abreast of new trends and best practices in Software development. | ","1-5 years of professional software development experience. | Skilled software developer capable of working on back-end using Laravel framework. | Strong proficiency in JavaScript, including DOM manipulation and the JavaScript object model | Thorough understanding of React.js and its core principles | Having Experience with popular React.js workflows (such as Redux) | Familiarity with newer specifications of EcmaScript | Familiarity with RESTful APIs (GraphQL is a plus) | In-depth knowledge of object-oriented PHP and Laravel 5.x PHP Framework | Hands-on experience with MYSQL schema design, SOLID principles, REST API design. | MySQL profiling and query optimization | Problem-solving and collaborative mindset. | Takes end to end ownership of the development and operation of complete features. | Capable communicators passionate about product development and user experience. | Desire to work in an open and team-oriented environment | Ability to take on complex problems, learn quickly, and persist towards a good solution | Huge plus: working with Agile and Scrum | Experience working with DevOps (Docker, Jenkins). | Experience with front-end web technology, bonus points for Reactjs. | ",https://wuzzuf.net/jobs/p/ekZRPXOnL3AF-Full-Stack-Engineer-PHP-Laravel-ReactJS-DailyMealz-ديلي-ميلز-Cairo-Egypt?o=6&l=sp&t=sj&a=php|search-v3|hpb
Software Engineer - PHP,Togar,"New Nozha, Cairo, Egypt ",1 day ago,Full timeExperienced · 3 - 4 Yrs of Exp · Ecommerce · Information Technology (IT) · PHP · Software Development · Computer Science · HTML · CSS · jQuery · MVC · OOP,"Determine and identify high-level functional and technical requirements on the basis of interactions with the user community and knowledge of enterprise architecture. | Provide quality assurance review and the evaluation of existing and new software products. | Develop high-level system design diagrams for program design, coding, testing, debugging, and documentation. | Develop and implement moderate to complex web applications on one or more platforms. | ","Experience in developing web applications using Laravel | Excellent knowledge in OOP, MVC & Design Patterns. | Experience managing source code using revision control systems. | Strong knowledge and experience in PHP application development as well as familiarity with HTML, CSS, JavaScript, JQuery. | Excellent analytical and problem-solving skills. | ",https://wuzzuf.net/jobs/p/8m48rDWsBBMj-Software-Engineer---PHP-Togar-Cairo-Egypt?o=7&l=sp&t=sj&a=php|search-v3|hpb
PHP Web Developer,SELECT,"Nasr City, Cairo, Egypt ",4 days ago,Full timeExperienced · 3 - 5 Yrs of Exp · Software Development · PHP · Web Development · Computer Science · javaScript · Information Technology (IT) · MySQL · MVC · SOAP · CSS,"Participates in all phases of software development cycle, business requirement analysis, software design, implementation, software testing & evaluation. | Proposes time plans for the current projects in order to deliver the final product on time. | Reviews business requirements and help compose technical requirements. | Analysis and design of the software using UML, design patterns. | Designs and develops relational database systems and their web interfaces. | Designs & implements test cases to ensure the quality of the developed applications. | Provides written status reports & documentation internally & for end users. | ","Proven track record of 3-5 years of Experience in PHP development. | Strong proficiency in MySQL database. | Expert level of HTML, CSS, JavaScript and AJAX. | Experienced with MVC architecture.                    | Integration experience (SOAP, RESTful ... etc). | Excellent written and verbal communication skills. | ",https://wuzzuf.net/jobs/p/spqQzNQuBE6U-PHP-Web-Developer-SELECT-Cairo-Egypt?o=8&l=sp&t=sj&a=php|search-v3|hpb
"Senior Full Stack Developer – ""PHP Laravel + Native""",xinook,"Attarin, Alexandria, Egypt ",8 days ago,Full timeExperienced · 3 - 10 Yrs of Exp · PHP · OOP · CI/CD · Laravel · Agile · GraphQL · Programming · Information Technology (IT) · Computer Science · Software Development,"Deliver the assigned tasks within due time frame and minimum percentage of defects/bugs, ensuring the needed quality of delivery is attained. | Ensure being up to date with the latest needed technologies aiding the Client’s projects needs and delivery. | Document all tasks being implemented for easy reference to the development team and Clients. | Effectively Communicates with the Team/Client, for an easy flow of information and connection with the team. | Manage time in order to utilize a 25% - 30% for research and learning and 70% - 75% for technical development. | Provides information by collecting, analyzing, and summarizing development and service issues. | Follow the NDA & Security Data Protection Guidelines ensuring data is confidential and not disclosed to any third parties. | ",Bachelors in Software Engineer or Computer Science. | Overall experience 3+ years. | A minimum of 6 months – 2 Years of experience in related field/needed technology. | Culturally fitting with the company’s standards and profile. | Adapting to dynamic work environment. | Possess general programming skills & software development fundamentals. | ,https://wuzzuf.net/jobs/p/LNsiDS2wfFrM-Senior-Full-Stack-Developer-–-PHP-Laravel-Native-12115-Alexandria-Egypt?o=9&l=sp&t=sj&a=php|search-v3|hpb
PHP Developer - Internship,Sectors Construction,"Mohandessin, Giza, Egypt ",8 days ago,InternshipEntry Level · PHP · Information Technology (IT) · Javascript · jQuery · Bootstrap · MySQL · Laravel · Computer Science · HTML · CSS,,,https://wuzzuf.net/jobs/p/hR6moebY2I6x-PHP-Developer---Internship-Sectors-Construction-Giza-Egypt?o=10&l=sp&t=sj&a=php|search-v3|hpb
